id,Genero,Idade,Raça,Formação,Estado,Tempo de casa,Departamento,Senioridade,Idade Ingresso
68,Fem,22,pardo,Pós graduação,Roraima,8.0,Marketing,Analista Pleno,14.0
69,Masc,29,pardo,Ensino Superior,Maranhão,4.0,Vendas,Analista Júnior,25.0
70,Masc,32,pardo,Doutorado,Paraíba,9.0,Vendas,Analista Pleno,23.0
71,Masc,24,pardo,Ensino Superior,Maranhão,3.0,Recursos Humanos,Analista Júnior,21.0
72,Fem,42,branco,Ensino Superior,Goiás,2.0,Operações,Gerente,40.0
73,Masc,41,branco,Ensino Superior,Pará,3.0,Vendas,Analista Júnior,38.0
74,Masc,18,branco,Ensino Superior,Amazonas,1.0,Operações,Analista Sênior,17.0
75,Masc,39,pardo,Ensino Superior,Goiás,8.0,Compras,Analista Júnior,31.0
76,Masc,36,pardo,Doutorado,Rondônia,8.0,Recursos Humanos,Gerente,28.0
77,Masc,21,preto,Ensino Médio,Acre,7.0,Compras,Analista Júnior,14.0
78,Masc,24,pardo,Ensino Médio,Roraima,9.0,Desenvolvimento de Produtos,Analista Júnior,15.0
79,Masc,42,pardo,Ensino Superior,Minas Gerais,7.0,TI,Analista Pleno,35.0
80,Masc,36,pardo,Mestrado,Distrito Federal,9.0,Vendas,Analista Pleno,27.0
81,Masc,30,pardo,Ensino Superior,Piauí,5.0,Recursos Humanos,Analista Júnior,25.0
82,Fem,28,branco,Ensino Superior,Amapá,5.0,Contabilidade,Analista Júnior,23.0
83,Masc,25,branco,Ensino Superior,São Paulo,5.0,Administrativo,Analista Sênior,20.0
84,Masc,21,pardo,Ensino Médio,Paraná,3.0,Operações,Analista Pleno,18.0
85,Fem,22,pardo,Ensino Superior,Mato Grosso do Sul,4.0,Marketing,Analista Júnior,18.0
86,Masc,36,branco,Mestrado,Tocantins,6.0,Desenvolvimento de Produtos,Analista Júnior,30.0
87,Fem,47,pardo,Ensino Superior,Piauí,0.0,TI,Analista Sênior,47.0
88,Masc,41,preto,Ensino Superior,Amazonas,8.0,Desenvolvimento de Produtos,Estagiário,33.0
89,Fem,34,pardo,Ensino Superior,Paraíba,6.0,Desenvolvimento de Produtos,Gerente,28.0
90,Fem,39,pardo,Mestrado,São Paulo,3.0,Administrativo,Analista Júnior,36.0
92,Masc,29,preto,Ensino Superior,Ceará,3.0,TI,Analista Sênior,26.0
93,Masc,38,branco,Ensino Médio,Piauí,3.0,Operações,Analista Sênior,35.0
94,Fem,37,pardo,Ensino Superior,Bahia,5.0,Contabilidade,Analista Júnior,32.0
95,Fem,31,branco,Mestrado,Rondônia,2.0,Compras,Analista Pleno,29.0
96,Masc,32,pardo,Doutorado,Piauí,4.0,Marketing,Gerente,28.0
97,Masc,27,pardo,Doutorado,Rio Grande do Sul,5.0,Vendas,Estagiário,22.0
98,Masc,30,pardo,Doutorado,São Paulo,5.0,Administrativo,Analista Sênior,25.0
99,Masc,33,branco,Ensino Superior,Rio de Janeiro,14.0,Recursos Humanos,Gerente,19.0
100,Fem,21,pardo,Ensino Médio,Rio Grande do Sul,6.0,Vendas,Estagiário,15.0
101,Fem,32,pardo,Ensino Superior,Bahia,6.0,Compras,Analista Sênior,26.0
102,Masc,41,pardo,Ensino Superior,Tocantins,6.0,Operações,Gerente,35.0
103,Fem,18,branco,Ensino Superior,Rondônia,4.0,TI,Analista Pleno,14.0
104,Masc,53,branco,Ensino Superior,Distrito Federal,7.0,TI,Analista Sênior,46.0
105,Masc,28,branco,Ensino Superior,Bahia,12.0,TI,Gerente,16.0
107,Masc,34,pardo,Pós graduação,Pará,4.0,Vendas,Estagiário,30.0
108,Masc,37,pardo,Mestrado,Rio Grande do Sul,6.0,Contabilidade,Analista Júnior,31.0
109,Masc,32,pardo,Pós graduação,Acre,7.0,Contabilidade,Analista Sênior,25.0
110,Masc,34,pardo,Ensino Superior,Santa Catarina,7.0,Operações,Analista Júnior,27.0
111,Masc,26,pardo,Doutorado,Pernambuco,5.0,Operações,Analista Pleno,21.0
112,Masc,30,branco,Ensino Superior,Paraíba,5.0,Marketing,Analista Pleno,25.0
113,Fem,27,pardo,Ensino Superior,Mato Grosso do Sul,6.0,Contabilidade,Gerente,21.0
114,Masc,32,pardo,Ensino Superior,Bahia,9.0,TI,Gerente,23.0
115,Masc,34,branco,Pós graduação,Paraná,6.0,Compras,Analista Pleno,28.0
116,Fem,38,pardo,Ensino Superior,Mato Grosso,2.0,Contabilidade,Analista Júnior,36.0
117,Masc,21,pardo,Ensino Médio,Piauí,4.0,Vendas,Analista Júnior,17.0
118,Masc,38,pardo,Mestrado,Amazonas,13.0,Operações,Analista Júnior,25.0
120,Masc,20,branco,Ensino Superior,Rio Grande do Sul,5.0,Operações,Analista Júnior,15.0
121,Fem,37,pardo,Ensino Superior,Bahia,10.0,TI,Analista Pleno,27.0
122,Masc,19,branco,Doutorado,Mato Grosso,5.0,Compras,Analista Pleno,14.0
123,Masc,20,branco,Ensino Superior,Santa Catarina,6.0,Compras,Gerente,14.0
124,Masc,33,branco,Ensino Superior,Maranhão,3.0,TI,Gerente,30.0
125,Masc,42,branco,Ensino Superior,Rondônia,8.0,Desenvolvimento de Produtos,Analista Júnior,34.0
126,Masc,24,branco,Ensino Superior,Santa Catarina,3.0,Marketing,Analista Pleno,21.0
127,Fem,36,branco,Ensino Superior,Tocantins,6.0,Compras,Estagiário,30.0
128,Masc,38,branco,Ensino Superior,Rio Grande do Norte,12.0,Compras,Analista Júnior,26.0
129,Masc,30,branco,Ensino Superior,Mato Grosso,2.0,Operações,Estagiário,28.0
130,Fem,20,pardo,Pós graduação,Rio de Janeiro,6.0,Contabilidade,Analista Sênior,14.0
131,Fem,19,branco,Ensino Superior,Goiás,5.0,Administrativo,Analista Sênior,14.0
132,Masc,28,indígena,Ensino Superior,Rio Grande do Sul,4.0,Administrativo,Analista Pleno,24.0
133,Masc,36,branco,Pós graduação,Amapá,0.0,Marketing,Analista Júnior,36.0
134,Masc,49,branco,Mestrado,Rio Grande do Sul,2.0,Operações,Analista Sênior,47.0
135,Masc,28,pardo,Mestrado,Rio Grande do Sul,3.0,TI,Analista Júnior,25.0
136,Masc,40,branco,Ensino Superior,Goiás,3.0,Administrativo,Analista Sênior,37.0
137,Masc,22,pardo,Ensino Superior,Santa Catarina,6.0,Recursos Humanos,Estagiário,16.0
138,Fem,30,pardo,Ensino Superior,Minas Gerais,5.0,Marketing,Analista Pleno,25.0
139,Masc,22,pardo,Pós graduação,Minas Gerais,7.0,Administrativo,Analista Pleno,15.0
140,Masc,30,pardo,Ensino Superior,Rio de Janeiro,5.0,Desenvolvimento de Produtos,Gerente,25.0
141,Fem,37,preto,Ensino Superior,Minas Gerais,4.0,Contabilidade,Analista Sênior,33.0
142,Fem,35,branco,Ensino Superior,Mato Grosso do Sul,1.0,Contabilidade,Analista Pleno,34.0
143,Masc,32,branco,Ensino Superior,Rio de Janeiro,8.0,Marketing,Analista Pleno,24.0
144,Masc,32,pardo,Ensino Médio,Minas Gerais,1.0,Operações,Analista Sênior,31.0
145,Fem,30,pardo,Ensino Superior,Ceará,5.0,Contabilidade,Analista Sênior,25.0
146,Masc,30,pardo,Ensino Superior,Rio de Janeiro,5.0,Operações,Gerente,25.0
147,Masc,26,pardo,Ensino Superior,Pernambuco,9.0,Desenvolvimento de Produtos,Analista Sênior,17.0
148,Masc,39,pardo,Ensino Superior,Minas Gerais,6.0,Vendas,Analista Júnior,33.0
149,Masc,56,branco,Pós graduação,Amapá,6.0,Vendas,Analista Pleno,50.0
150,Fem,22,branco,Mestrado,Roraima,5.0,Recursos Humanos,Analista Júnior,17.0
151,Masc,31,branco,Mestrado,Minas Gerais,5.0,Desenvolvimento de Produtos,Estagiário,26.0
152,Masc,28,branco,Mestrado,Rio de Janeiro,7.0,Contabilidade,Gerente,21.0
153,Fem,35,pardo,Mestrado,Goiás,7.0,Marketing,Analista Júnior,28.0
154,Masc,40,branco,Ensino Superior,São Paulo,3.0,TI,Analista Sênior,37.0
155,Masc,41,branco,Ensino Superior,Mato Grosso do Sul,0.0,Administrativo,Estagiário,41.0
156,Masc,35,branco,Pós graduação,Rio de Janeiro,11.0,Marketing,Analista Júnior,24.0
157,Masc,32,preto,Pós graduação,Paraíba,10.0,TI,Gerente,22.0
158,Masc,24,pardo,Ensino Superior,Minas Gerais,8.0,Recursos Humanos,Analista Júnior,16.0
159,Masc,19,branco,Ensino Superior,Distrito Federal,5.0,Administrativo,Analista Sênior,14.0
160,Masc,30,pardo,Ensino Superior,Rio Grande do Sul,5.0,TI,Analista Júnior,25.0
162,Fem,30,pardo,Ensino Superior,Paraíba,5.0,Desenvolvimento de Produtos,Gerente,25.0
163,Masc,20,branco,Mestrado,Rio Grande do Sul,1.0,Compras,Analista Sênior,19.0
164,Masc,37,pardo,Pós graduação,Rio de Janeiro,2.0,TI,Gerente,35.0
165,Masc,28,preto,Ensino Superior,Bahia,5.0,Operações,Analista Pleno,23.0
166,Masc,41,pardo,Ensino Superior,Bahia,3.0,Compras,Analista Júnior,38.0
167,Masc,31,pardo,Ensino Superior,Espírito Santo,2.0,Vendas,Analista Júnior,29.0
168,Masc,27,pardo,Ensino Superior,Bahia,11.0,Contabilidade,Analista Sênior,16.0
169,Masc,36,branco,Ensino Superior,Rio Grande do Norte,3.0,Recursos Humanos,Analista Júnior,33.0
170,Masc,30,preto,Ensino Superior,Espírito Santo,7.0,Marketing,Analista Sênior,23.0
171,Masc,27,branco,Doutorado,São Paulo,6.0,Marketing,Analista Sênior,21.0
172,Masc,30,pardo,Ensino Superior,Paraná,9.0,Recursos Humanos,Analista Júnior,21.0
173,Fem,19,branco,Ensino Médio,Rio de Janeiro,2.0,Contabilidade,Analista Sênior,17.0
175,Masc,30,pardo,Pós graduação,Rio Grande do Norte,4.0,Compras,Analista Júnior,26.0
176,Masc,21,branco,Ensino Superior,Rondônia,6.0,Contabilidade,Analista Sênior,15.0
177,Fem,24,branco,Ensino Superior,Santa Catarina,7.0,Administrativo,Analista Júnior,17.0
178,Masc,31,pardo,Ensino Superior,Pernambuco,9.0,Compras,Gerente,22.0
179,Fem,40,preto,Ensino Superior,Maranhão,9.0,TI,Gerente,31.0
180,Masc,39,pardo,Ensino Superior,Rio de Janeiro,6.0,Administrativo,Gerente,33.0
181,Masc,40,branco,Ensino Superior,São Paulo,5.0,Operações,Analista Júnior,35.0
182,Masc,20,branco,Ensino Superior,Distrito Federal,2.0,Desenvolvimento de Produtos,Gerente,18.0
183,Masc,47,pardo,Ensino Superior,Paraná,5.0,Contabilidade,Analista Pleno,42.0
184,Masc,30,pardo,Mestrado,Rondônia,5.0,Marketing,Gerente,25.0
185,Masc,35,branco,Mestrado,Rio de Janeiro,8.0,Marketing,Analista Pleno,27.0
186,Masc,18,preto,Mestrado,Rio de Janeiro,3.0,Desenvolvimento de Produtos,Analista Sênior,15.0
187,Masc,31,pardo,Mestrado,Piauí,0.0,Desenvolvimento de Produtos,Analista Júnior,31.0
188,Fem,26,pardo,Ensino Superior,Amazonas,9.0,TI,Analista Sênior,17.0
189,Masc,30,pardo,Ensino Superior,Maranhão,1.0,TI,Analista Pleno,29.0
190,Fem,30,pardo,Ensino Médio,Rio de Janeiro,5.0,Compras,Analista Sênior,25.0
191,Fem,40,branco,Doutorado,São Paulo,8.0,Compras,Analista Júnior,32.0
192,Masc,32,pardo,Ensino Superior,Roraima,2.0,Compras,Analista Sênior,30.0
193,Fem,42,branco,Ensino Superior,Rio de Janeiro,7.0,Vendas,Analista Sênior,35.0
195,Masc,30,pardo,Pós graduação,Rio Grande do Sul,3.0,Vendas,Analista Pleno,27.0
196,Masc,31,pardo,Ensino Superior,Santa Catarina,0.0,Contabilidade,Analista Pleno,31.0
197,Masc,27,pardo,Mestrado,São Paulo,6.0,Contabilidade,Analista Júnior,21.0
198,Masc,30,pardo,Ensino Superior,São Paulo,5.0,Marketing,Analista Sênior,25.0
199,Masc,31,pardo,Mestrado,Tocantins,4.0,Contabilidade,Gerente,27.0
200,Masc,34,branco,Ensino Superior,Mato Grosso,2.0,TI,Analista Júnior,32.0
201,Fem,39,branco,Ensino Superior,Amazonas,7.0,Desenvolvimento de Produtos,Analista Pleno,32.0
202,Masc,32,branco,Pós graduação,Bahia,5.0,Recursos Humanos,Analista Pleno,27.0
203,Masc,36,pardo,Doutorado,Piauí,7.0,Recursos Humanos,Diretor,29.0
205,Masc,44,branco,Mestrado,São Paulo,1.0,Recursos Humanos,Analista Sênior,43.0
206,Masc,21,pardo,Ensino Superior,São Paulo,1.0,TI,Analista Júnior,20.0
207,Fem,39,pardo,Ensino Superior,Rio Grande do Norte,9.0,Contabilidade,Analista Sênior,30.0
208,Fem,33,branco,Ensino Superior,Rio de Janeiro,7.0,Recursos Humanos,Analista Júnior,26.0
209,Masc,43,pardo,Ensino Superior,Minas Gerais,5.0,Marketing,Analista Pleno,38.0
210,Masc,28,branco,Ensino Superior,Santa Catarina,5.0,TI,Analista Pleno,23.0
211,Masc,19,branco,Ensino Superior,Rio Grande do Sul,5.0,Compras,Analista Pleno,14.0
212,Masc,38,pardo,Ensino Superior,Goiás,5.0,Administrativo,Analista Júnior,33.0
213,Masc,28,branco,Ensino Superior,Acre,3.0,Operações,Analista Júnior,25.0
214,Masc,24,branco,Ensino Superior,Piauí,5.0,Marketing,Gerente,19.0
215,Fem,26,preto,Ensino Superior,Alagoas,3.0,TI,Analista Pleno,23.0
216,Fem,30,pardo,Mestrado,Rio Grande do Norte,5.0,Compras,Analista Sênior,25.0
217,Masc,26,pardo,Ensino Superior,Amapá,0.0,Contabilidade,Estagiário,26.0
218,Masc,42,branco,Pós graduação,Goiás,10.0,Desenvolvimento de Produtos,Analista Pleno,32.0
219,Masc,29,branco,Doutorado,Ceará,3.0,Compras,Gerente,26.0
220,Fem,35,pardo,Mestrado,São Paulo,4.0,Desenvolvimento de Produtos,Analista Pleno,31.0
221,Masc,25,branco,Ensino Superior,Pernambuco,6.0,Marketing,Analista Júnior,19.0
222,Masc,26,branco,Pós graduação,Paraná,6.0,Administrativo,Analista Pleno,20.0
223,Masc,33,branco,Ensino Superior,São Paulo,8.0,TI,Analista Júnior,25.0
224,Fem,24,branco,Ensino Superior,Maranhão,7.0,Recursos Humanos,Gerente,17.0
225,Masc,32,pardo,Pós graduação,Rio Grande do Norte,7.0,Vendas,Analista Júnior,25.0
226,Masc,27,pardo,Ensino Médio,Paraná,8.0,Contabilidade,Analista Pleno,19.0
227,Masc,27,branco,Doutorado,Minas Gerais,5.0,Contabilidade,Analista Pleno,22.0
228,Fem,23,branco,Doutorado,Mato Grosso,8.0,Compras,Analista Pleno,15.0
229,Masc,35,pardo,Pós graduação,Bahia,4.0,Administrativo,Gerente,31.0
230,Fem,43,branco,Doutorado,Rio de Janeiro,9.0,Administrativo,Analista Sênior,34.0
231,Masc,32,branco,Pós graduação,Minas Gerais,10.0,Contabilidade,Analista Pleno,22.0
232,Fem,23,preto,Ensino Superior,Maranhão,6.0,Vendas,Analista Pleno,17.0
233,Masc,18,preto,Ensino Médio,Minas Gerais,2.0,Desenvolvimento de Produtos,Analista Pleno,16.0
234,Masc,43,branco,Ensino Superior,Paraná,6.0,Recursos Humanos,Analista Sênior,37.0
235,Masc,20,branco,Ensino Superior,Sergipe,4.0,Vendas,Analista Júnior,16.0
236,Masc,27,pardo,Ensino Superior,Espírito Santo,10.0,Contabilidade,Analista Sênior,17.0
237,Masc,23,branco,Ensino Superior,São Paulo,2.0,Administrativo,Analista Júnior,21.0
238,Masc,28,branco,Doutorado,Ceará,0.0,Compras,Analista Júnior,28.0
239,Masc,45,pardo,Pós graduação,São Paulo,5.0,Administrativo,Analista Sênior,40.0
240,Fem,37,branco,Ensino Médio,Mato Grosso,4.0,Marketing,Analista Júnior,33.0
241,Masc,30,branco,Ensino Superior,Paraná,6.0,Desenvolvimento de Produtos,Analista Júnior,24.0
242,Masc,30,pardo,Ensino Superior,Amapá,5.0,Recursos Humanos,Analista Pleno,25.0
243,Masc,37,pardo,Doutorado,Rio de Janeiro,2.0,Recursos Humanos,Analista Sênior,35.0
244,Masc,33,branco,Ensino Superior,Roraima,5.0,TI,Gerente,28.0
245,Fem,42,indígena,Ensino Superior,Sergipe,4.0,Recursos Humanos,Analista Pleno,38.0
246,Masc,41,branco,Pós graduação,Alagoas,7.0,Contabilidade,Analista Pleno,34.0
247,Masc,20,pardo,Pós graduação,Paraná,6.0,Operações,Analista Júnior,14.0
249,Masc,52,branco,Pós graduação,Rio de Janeiro,3.0,Desenvolvimento de Produtos,Analista Júnior,49.0
250,Masc,35,pardo,Ensino Superior,Rio Grande do Sul,4.0,Marketing,Analista Pleno,31.0
251,Masc,30,branco,Ensino Superior,Santa Catarina,1.0,Compras,Gerente,29.0
252,Masc,53,pardo,Ensino Superior,Rio Grande do Sul,12.0,Marketing,Gerente,41.0
253,Masc,36,pardo,Pós graduação,Rio Grande do Sul,8.0,Marketing,Analista Júnior,28.0
254,Fem,25,branco,Ensino Superior,Pará,8.0,Compras,Analista Pleno,17.0
255,Masc,39,pardo,Ensino Superior,Paraíba,10.0,Marketing,Gerente,29.0
256,Masc,34,pardo,Pós graduação,Rio Grande do Sul,4.0,TI,Analista Júnior,30.0
257,Masc,30,pardo,Pós graduação,Minas Gerais,5.0,Vendas,Estagiário,25.0
258,Masc,33,preto,Ensino Superior,São Paulo,6.0,TI,Analista Sênior,27.0
259,Masc,29,pardo,Ensino Superior,Sergipe,3.0,Marketing,Analista Pleno,26.0
260,Masc,23,branco,Doutorado,Rio Grande do Sul,8.0,TI,Analista Pleno,15.0
261,Masc,21,pardo,Ensino Superior,Espírito Santo,5.0,Desenvolvimento de Produtos,Analista Pleno,16.0
262,Masc,20,pardo,Ensino Superior,Rio de Janeiro,6.0,TI,Analista Pleno,14.0
263,Masc,36,pardo,Ensino Superior,Bahia,9.0,Marketing,Analista Júnior,27.0
264,Fem,33,branco,Ensino Médio,Rio de Janeiro,9.0,Administrativo,Gerente,24.0
265,Fem,29,pardo,Ensino Superior,São Paulo,6.0,Recursos Humanos,Analista Sênior,23.0
266,Masc,30,branco,Ensino Superior,Mato Grosso do Sul,5.0,Compras,Gerente,25.0
267,Masc,30,pardo,Ensino Superior,Rio de Janeiro,5.0,Contabilidade,Analista Sênior,25.0
268,Masc,20,branco,Pós graduação,Santa Catarina,5.0,Contabilidade,Analista Júnior,15.0
269,Fem,27,pardo,Pós graduação,Goiás,3.0,Administrativo,Analista Sênior,24.0
270,Masc,26,pardo,Ensino Médio,Distrito Federal,10.0,Operações,Analista Pleno,16.0
271,Fem,21,branco,Doutorado,Rio Grande do Norte,6.0,Operações,Estagiário,15.0
272,Masc,20,pardo,Pós graduação,Amazonas,3.0,Desenvolvimento de Produtos,Analista Pleno,17.0
273,Masc,36,branco,Ensino Superior,Espírito Santo,8.0,Recursos Humanos,Analista Júnior,28.0
274,Masc,27,preto,Ensino Médio,Rio de Janeiro,11.0,Marketing,Analista Pleno,16.0
275,Fem,35,pardo,Mestrado,Mato Grosso do Sul,11.0,Marketing,Analista Júnior,24.0
276,Masc,47,preto,Ensino Superior,Roraima,8.0,TI,Analista Sênior,39.0
277,Masc,22,branco,Ensino Superior,Pará,2.0,Compras,Analista Pleno,20.0
278,Masc,50,pardo,Pós graduação,Amazonas,8.0,Recursos Humanos,Analista Pleno,42.0
279,Masc,28,pardo,Ensino Superior,Minas Gerais,8.0,Desenvolvimento de Produtos,Analista Pleno,20.0
280,Fem,25,branco,Doutorado,Pará,5.0,Marketing,Analista Pleno,20.0
281,Masc,30,pardo,Ensino Superior,Sergipe,5.0,Vendas,Analista Sênior,25.0
282,Masc,28,branco,Ensino Superior,Sergipe,5.0,Vendas,Analista Júnior,23.0
283,Fem,34,pardo,Ensino Superior,Bahia,7.0,Administrativo,Analista Pleno,27.0
284,Masc,26,branco,Ensino Superior,Rio Grande do Norte,4.0,Administrativo,Analista Pleno,22.0
285,Masc,23,preto,Pós graduação,Roraima,4.0,Operações,Analista Pleno,19.0
286,Fem,35,pardo,Doutorado,Rio de Janeiro,6.0,Operações,Analista Pleno,29.0
287,Masc,26,branco,Pós graduação,São Paulo,3.0,Marketing,Analista Júnior,23.0
288,Masc,22,pardo,Ensino Superior,Sergipe,4.0,Operações,Analista Sênior,18.0
289,Masc,37,pardo,Doutorado,São Paulo,2.0,TI,Analista Pleno,35.0
290,Fem,37,branco,Ensino Superior,Maranhão,6.0,Recursos Humanos,Estagiário,31.0
291,Masc,39,pardo,Mestrado,Rio de Janeiro,6.0,Operações,Analista Júnior,33.0
292,Masc,42,pardo,Pós graduação,Acre,9.0,Vendas,Analista Sênior,33.0
293,Masc,31,pardo,Ensino Superior,Minas Gerais,2.0,Operações,Analista Sênior,29.0
294,Fem,23,branco,Pós graduação,Rio Grande do Sul,4.0,TI,Gerente,19.0
295,Fem,32,branco,Pós graduação,Goiás,0.0,Compras,Analista Sênior,32.0
296,Masc,35,preto,Pós graduação,Goiás,2.0,TI,Analista Sênior,33.0
297,Fem,37,branco,Ensino Superior,Rio de Janeiro,2.0,TI,Analista Júnior,35.0
298,Masc,44,branco,Ensino Superior,Paraná,7.0,Operações,Analista Júnior,37.0
299,Masc,21,pardo,Pós graduação,Sergipe,3.0,Marketing,Analista Júnior,18.0
300,Masc,31,preto,Mestrado,Paraíba,5.0,Recursos Humanos,Estagiário,26.0
301,Masc,28,pardo,Pós graduação,Rio de Janeiro,9.0,Vendas,Estagiário,19.0
302,Masc,21,branco,Ensino Superior,Rio de Janeiro,5.0,Vendas,Analista Pleno,16.0
303,Masc,25,branco,Ensino Médio,Santa Catarina,5.0,Desenvolvimento de Produtos,Analista Pleno,20.0
